City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mermoz boabab,14.7065,-17.4758,19.23,58,41,7.69,SN,1738594786
84,collaroy,-33.7382,151.2997,23.42,83,81,2.68,AU,1738594787
85,quellon,-43.1167,-73.6167,11.68,85,100,2.65,CL,1738594788
86,whitehorse,60.7161,-135.0538,-16.57,85,100,1.03,CA,1738594599
87,shalya,57.2471,58.7298,-2.64,95,100,2.11,RU,1738594790
88,loen,7.7601,168.2307,27.36,74,32,9.73,MH,1738594791
89,fort stockton,30.894,-102.8793,19.86,23,0,2.52,US,1738594792
90,ballina,-28.8667,153.5667,22.83,86,95,1.74,AU,1738594793
91,holualoa,19.6228,-155.9522,18.24,81,40,0.89,US,1738594794
92,mentougou,39.9392,116.0917,-5.61,34,0,1.72,CN,1738594795
93,ormara,25.2088,64.6357,20.97,50,0,8.5,PK,1738594796
94,rusape,-18.5278,32.1284,25.31,52,96,4.52,ZW,1738594798
95,kaohsiung,22.6163,120.3133,13.97,77,75,4.12,TW,1738594799
96,atafu village,-8.5421,-172.5159,28.07,67,66,5.91,TK,1738594593
97,tazovsky,67.4667,78.7,-33.23,99,88,2.32,RU,1738594583
98,alice springs,-23.7,133.8833,29.75,30,0,5.14,AU,1738594803
99,georgetown,5.4112,100.3354,26.96,69,20,1.54,MY,1738594626
100,razampeta,14.1833,79.1667,23.28,43,63,1.92,IN,1738594805
101,el granada,37.5027,-122.4694,13.9,88,100,7.2,US,1738594806
102,grand-bassam,5.2118,-3.7388,31.98,62,99,5.12,CI,1738594807
103,portage la prairie,49.9728,-98.2926,-20.62,71,75,5.66,CA,1738594809
104,betare oya,5.6,14.0833,36.99,11,13,3.89,CM,1738594810
105,port elizabeth,-33.918,25.5701,25.73,65,0,2.24,ZA,1738594811
106,puerto ayora,-0.7393,-90.3518,25.31,96,47,0.89,EC,1738594613
107,yemva,62.59,50.8594,-14.83,95,100,3.28,RU,1738594814
108,mega,4.05,38.3,26.25,21,92,5.82,ET,1738594815
109,capo d'orlando,38.1435,14.7305,13.16,83,100,2.18,IT,1738594816
110,tolanaro,-25.0319,46.9987,28.04,65,40,9.26,MG,1738594817
111,pauini,-7.7136,-66.9764,26.85,89,75,1.91,BR,1738594818
112,klyuchi,52.2667,79.1667,-2.77,91,99,2.33,RU,1738594819
113,longyearbyen,78.2186,15.6401,1.91,60,40,5.66,SJ,1738594820
114,karkira,36.9292,6.5856,11.81,90,94,4.18,DZ,1738594822
115,minas de marcona,-15.2119,-75.1103,22.34,63,83,3.25,PE,1738594823
116,lompoc,34.6391,-120.4579,11.07,72,100,1.54,US,1738594824
117,myeik,12.4333,98.6,25.04,76,0,1.81,MM,1738594825
118,chinde,26.8212,87.7095,15.69,58,0,2.55,NP,1738594826
119,ust-nera,64.5667,143.2,-40.46,99,90,1.73,RU,1738594827
120,panacan,9.2463,118.4082,25.85,87,9,2.45,PH,1738594828
121,enewetak,11.3474,162.3373,26.75,68,100,11.01,MH,1738594829
122,tyuratam,45.6507,63.3156,-4.36,79,82,6.46,KZ,1738594830
123,dudinka,69.4058,86.1778,-22.82,89,100,3.43,RU,1738594806
